sentence,category
"R$ 632,11 em até 12x sem juros no cartão de crédito para comprar.","finanças,varejo"
R$ 5 de desconto ao mês.,finanças
Produção dos carros neutra em carbono. ,indústrias
Qual a importância do manual de garantia e manutenção do seu carro?,indústrias
Escolha suas opções para seu carro em equipamentos de série.,indústrias
"Prefeitura abre inscrições para curso profissionalizante no setor de varejo, atendimento e perecíveis.","educação,orgão público"
"Recomendo 101% compraria novamente, também para presentear alguém.",varejo
Ação é a menor parcela do capital social das companhias de capital aberto.,finanças
PROGRAMA DE GOVERNO PAULO SERRA,orgão público
Contextualizando a Aprendizagem.,educação
7.000 alunos de graduação e pós-graduação estudam na UNIMAR.,educação
"Selecione o grupo para o assunto Estagiário, Aprendiz e Financeiro. ",educação
Todo correntista do ITAÚ já possui uma conta poupança pronta para iniciar.,finanças
A embalagem é reutilizável e 100% reciclável e a tinta é lavável e atóxica.,"indústrias,varejo"
COMPREENSÃO DE TEXTOS E TRADUÇÃO DA LÍNGUA ESPANHOLA.,educação
EMISSÃO DA SEGUNDA VIA DO CARNÊ DE IPTU,orgão público
Conheça a opção mais adequada para o seu bolso na hora de comprar um carro.,"finanças,varejo"
Mais vendido é a marca Ecolapis com 48 Cores.,varejo
Justiça do Maranhão implanta Diário de Justiça Eletrônico Nacional.,orgão público
Aumenta a quantidade de capital proletário acionário e a importância tanto dos bancos quanto da classe financista.,finanças
"A matriz curricular do curso selecionado encontra-se em processo de atualização, e está indisponível no momento.",educação
"A experiência de compra é fácil, rápida e oferece várias formas de pagamento, inclusive Pix, além de oferecer descontos.",finanças
Descontos incríveis para comprar nossos produtinhos queridinhos.,varejo
"Tribunal Regional Eleitoral do Distrito Federal - TRE-DF, edital 02/2020.",orgão público
"Cálculo realizado: consumo divulgado pelo Inmetro, multiplicado pela capacidade do tanque de combustível do veículo. ",indústrias
Carnê de IPTU.,"finanças,orgão público"
Novo carro Nissan Kicks 1.6 Sense uma maravilha!,indústrias
Orientações para o candidato da prova.,educação
Selecione o tipo de contrato.,orgão público
Os rendimentos auferidos sujeitam-se à incidência de imposto de renda na fonte.,finanças
Os títulos são emitidos pelo Governo a fim de captar recursos para o financiamento da dívida pública.,finanças
Monte o seu carro Nivus conforme o seu gosto.,indústrias
"Edson Hatakeyama, Secretária Municipal da Saúde.",orgão público
Veja como foi a trajetória de debates do Projeto de Regularização Imobiliária na Câmara Municipal até ele se tornar Lei.,orgão público
Acesse o Fale conosco e veja tutoriais e também termos de uso e Política de privacidade.,orgão público
Relação de Diretores dos Clubes da Comunidade da Subprefeitura de Pirituba.,orgão público
Câmbio do novo carro Tracker 2022.,indústrias
EMISSÃO DA 2ª VIA DA PARCELA DE IPTU - VALOR COM DESCONTO,orgão público
"POLÍTICA DE DESCONTOS, CURSOS POR ÁREA E CONHEÇA OS POLOS. INSCRIÇÕES ABERTAS.",educação
O limite do cartão de crédito pode ser reduzido atendendo à sua solicitação ou por decisão do banco.,finanças
Secretaria de Educação abre inscrições para processo seletivo em Valparaíso na área de Pedagogia.,"educação,orgão público"
Protocolo de inscrição N° 22658,orgão público
Escolha o número de parcelas,varejo
Cupom primeira compra.,varejo
Tudo sobre o curso de Administração.,educação
Dicas do Professor,educação
Serviço e manutenção do meu Chevrolet.,indústrias
"Com nossas florestas no Brasil, alcançamos a certificação carbono-neutro para nossa produção.",indústrias
Núcleo de Estudos em Marketing e Pesquisa de Opinião.,educação
Como explicar o fato de que falantes de uma mesma língua a usem de modo tão diferente?,educação
Concatenar os institutos do direito penal material e processual.,orgão público
"Língua Portuguesa, leitura 2 ""Guia de viagem"".",educação
Política de Direitos Humanos.,orgão público
"Aposentadoria por tempo de contribuição Artigo 55/6, Benefícios em Espécie e Direito Previdenciário.",orgão público
Estão disponíveis 19 cursos realizados pela plataforma Ateliê Digital do Google disponibilizados de forma totalmente gratuita.,educação
ATENDIMENTO ON-LINE DEFENSORIA PÚBLICA DO ESTADO DE MATO GROSSO.,orgão público
"ENSINO MÉDIO COMPLETO, DISPONILIDADE PARA TRABALAHAR AOS SÁBADOS PRECISA EM DIFERENTES TURNOS.",indústrias
14/04/2021 16:51 - 28. Conclusos para decisão com Embargos de Declaração,orgão público
Contabilidade para Advogados.,finanças
Cartões de crédito e transferência em conta.,finanças
"Registros e controles da qualidade, e sistema da qualidade que são os nossos processos.",indústrias
25 unidades industriais sendo 24 no Brasil e 1 na Argentina. Conheça nossas unidades.,indústrias
 O seu carrinho já tem 17 itens.,varejo
"PSICOPEDAGOGIA E EDUCAÇÃO ESPECIAL 760 HORAS, CLIQUE AQUI PARA O ENVIO DO TCC.",educação
"Os seguintes campos são obrigatórios: Nível de Ensino, Situação, Curso, Período Início, Conclusão, Carga Horária e Instituição.",educação
Trabalhe na Prefeitura.,orgão público
Serão aceitos no máximo três trabalhos com o mesmo autor principal.,educação
"Com nossas florestas no Brasil, alcançamos a certificação carbono-neutro para nossa produção.",indústrias
"Assuntos: Auxílio-Doença Previdenciário, Benefícios em Espécie, DIREITO PREVIDENCIÁRIO Aposentadoria por Invalidez (Art. 42/7).",orgão público
Ficam com uma soma enorme que permite o investimento onde é necessário.,finanças
Valor da entrega R$ 200 exceto para o estado de São Paulo.,varejo
Construção Civil no nível Técnico e Construção Civil no nível Estágio.,educação
Escolha uma forma de pagamento.,varejo
"Pague R$ 7,89 a partir de 6 unidades.","finanças,varejo"
Número do Processo Eletrônico com Chave,orgão público
Os preços podem variar de acordo com o seu Estado. Solicite sua proposta em uma das nossas Concessionárias Chevrolet.,varejo
Veja as últimas novidades de produtos selecionadas para você!,varejo
"Para atender todas as exigências legais para constituir uma família adotiva, confira os passos necessários.",orgão público
"Novo Nissan Versa, conheça o design e suas características no showroom virtual.",indústrias
O pagamento será realizado mediante crédito efetuado diretamente nas respectivas contas correntes.,finanças
Documentos a serem apresentados para solicitação.,orgão público
Eu recebo os equipamentos e recursos necessários para realizar meu trabalho.,indústrias
"A Pagseguro vendeu um total de US$ 3,7 bilhões entre janeiro e junho.",finanças
Selecione o tipo de documento; Documentos Pessoais e Documentos Acadêmicos.,educação
"Domínio Linguístico, Domínio Pragmático e Domínio Extra-linguístico.",educação
Avaliações do produto,varejo
Aché inaugura 1ª fase de sua nova fábrica em Pernambuco.,indústrias
Instituto Claro lança quarta temporada da série Pensadores na Educação.,educação
Lei local não poderá ampliar a competência do Juizado Especial.,orgão público
Compre o Ecolapis com 12 Cores.,varejo
Novo Chevrolet Camaro 2020,indústrias
"Conecte-se ao Onix, o seu próximo hatch.",indústrias
Novo Onix 2022 carro hatch com Wi-Fi e sistema Easy Entry,indústrias
Imagem de Geladeira Refrigerador Frost Free Inox 454L.,varejo
Revisão do conteúdo da aula anterior:,educação
TERMOS E POLÍTICAS,orgão público
Encontre uma loja Trocas e Devoluções mais próxima de sua casa.,varejo
Formas de pagamento: cartões de crédito ou transferência em conta,varejo
Mensagem da Nissan do Brasil: Compre seu carro 0 km hoje mesmo!,indústrias
Declaro que li e concordo com todos os termos e condições para a realização da prova!,orgão público
"Denuncie fraudes, irregularidades e desvios de conduta ética. Fique por dentro dos seus direitos e deveres como consumidor.",orgão público
"Assine por 48 meses e pague R$1.189,30 nos 8 primeiros meses e R$1.699,00 do 9º ao 48º mês",varejo
"As reuniões da Comissão serão às quartas-feiras, às 13h, no Auditório Prestes Maia.",orgão público
Prefeitura amplia os programas Cidade Solidária e Cozinha Cidadã para reforçar atendimento à população em situação de vulnerabilidade na capital.,orgão público
"Curso de Desenhista Técnico de Edificações. Carga horária: 160h, EAD qualificação profissional.",educação
Veja como foi a trajetória de debates do Projeto de Regularização Imobiliária na Câmara Municipal até ele se tornar Lei.,orgão público
Curso EAD em Neurociências da Visão.,educação
"Antes de realizar sua inscrição e prova on-line, assista o vídeo instrutivo abaixo com orientações para uma prova de sucesso!",educação
"Sua cesta está vazia, voltar às compras.",varejo
"Para continuar comprando, navegue pelas categorias do site ou faça uma busca pelo seu produto.",varejo
Chamamento Público para Credenciamento de Prestação.,orgão público
Corregedoria fará inspeção em seis tribunais no segundo trimestre.,orgão público
"Novo Nissan Versa, um sedan com o melhor da tecnologia japonesa.",indústrias
O produto escolhido é 110V.,varejo
Emissão de Guias,orgão público
Seu carro com volante multifuncional em couro.,indústrias
"Um carro global, inédito e que apresenta novas percepções em design, inovação e alta performance.",indústrias
Valor da causa?,orgão público
Câmbio do novo carro Tracker 2022.,indústrias
Consultas de multas de trânsito.,orgão público
"Carro ATTACK AT 4X4 preço Inicial, exceto para o estado de São Paulo, por R$233.290.",indústrias
Semana de Registro Civil destaca o trabalho do CNJ para identificação de pessoas presas.,orgão público
Carro Kicks Advance CVT está disponivel.,indústrias
"Compre um celular, possui também uma case plástico com proteção para quedas.",varejo
Seus equipamentos protegidos por muito mais tempo com a extensão da garantia original de fábrica.,varejo
Confira abaixo o telefone da sua loja de preferência:,varejo
Não é preciso ter conta corrente e cartão do banco para utilizar o canal.,finanças
Os aminoácidos podem ser nomeados de três formas diferentes.,educação
Prazo: a Declaração deverá ser efetuatda dentro do mês de aniversário do servidor ativo ou aposentado.,orgão público
RELATÓRIOS DE AUDITORIA INTERNA - 2017.,orgão público
"Tecnologia humana que combina a figura do aluno, do professor e do palhaço, criando uma nova profissão: o ""Palhaço Aprendedor""​.",educação
"Atividades presenciais de segunda a sexta-feira, noturno.",educação
O Itaú pagou 710 milhões de reais pela operação de varejo do Citibank no Brasil.,finanças
IPTU - Débito Automático,orgão público
Desejo receber ofertas no e-mail,varejo
"Ovo de Páscoa 22 Laka 500g a partir de R$ 69,90.",varejo
Manutenção ou retirada de capital é o valor percebido das empresas no mercado.,finanças
"Papel Crepon 48cmx2,00m marrom, pacote com 10.",varejo
Cadastro Nacional de Presos - BNMP ,orgão público
"Selecione o local de estudo, curso sem encontros presenciais.",educação
ESTUDANTES DA REDE MUNICIPAL VOLTAM ÀS AULAS EM VALPARAÍSO.,"educação,orgão público"
Empresas e órgãos públicos,orgão público
DGE – Departamento de Gestão Estratégica Metas Nacionais Portal CNJ de Boas Práticas do Poder Judiciário,orgão público
"Lei 13.467/2017, Reforma Trabalhista",orgão público
